GO.ID	pValue
GO:0006790	0.0026
GO:0045103	0.003
GO:1902930	0.0036
GO:0034655	0.0037
GO:1903409	0.0045
GO:0040007	0.005
GO:0097194	0.0055
GO:0007300	0.0062
GO:0019226	0.0064
GO:1902931	0.0069
GO:0007272	0.0084
GO:0019692	0.0088
GO:0001541	0.0089
GO:0007566	0.0096
GO:0045833	0.0106
GO:0051055	0.0135
GO:0045932	0.0141
GO:0003006	0.0146
GO:2000379	0.0146
GO:0072529	0.0148
GO:0009611	0.0153
GO:0046890	0.0154
GO:0002576	0.0157
GO:0048678	0.0157
GO:0046660	0.0163
GO:0062014	0.0172
GO:2000377	0.0174
GO:0000912	0.0182
GO:0019216	0.0183
GO:0044837	0.0185
GO:1990748	0.0185
GO:0098754	0.0191
GO:0140053	0.0196
GO:0035193	0.0205
GO:0006308	0.0208
GO:0008298	0.0214
GO:0046385	0.0215
GO:0002093	0.0231
GO:0048732	0.0247
GO:0046386	0.0252
GO:0050865	0.0256
GO:0032543	0.0257
GO:0032506	0.0258
GO:0009143	0.0268
GO:0031099	0.0271
GO:0045104	0.028
GO:0070570	0.0286
GO:0071248	0.0293
GO:0072593	0.0307
GO:0090181	0.0312
GO:0040014	0.0314
GO:0070572	0.0333
GO:0009264	0.0339
GO:0031102	0.0341
GO:0001817	0.0371
GO:0008217	0.0386
GO:0048679	0.0387
GO:0007315	0.0389
GO:0007028	0.039
GO:0009262	0.0394
GO:0072527	0.0396
GO:0007422	0.0403
GO:0044706	0.0414
GO:0080135	0.0431
GO:0007488	0.0435
GO:0009263	0.0446
GO:0072528	0.045
GO:0006575	0.0455
GO:0001775	0.0468
GO:0097190	0.048
GO:0001816	0.048
