GO.ID	pValue
GO:0006414	0.00019
GO:0051169	0.00029
GO:0019693	0.00122
GO:0006270	0.00128
GO:0003012	0.00153
GO:0046390	0.00159
GO:0045824	0.0026
GO:0016072	0.00415
GO:0097746	0.0051
GO:0070873	0.00513
GO:0080134	0.00591
GO:0005981	0.00649
GO:0008217	0.00716
GO:0006457	0.00796
GO:0007436	0.00939
GO:0050777	0.00956
GO:0032200	0.01006
GO:0002831	0.01059
GO:0034982	0.01068
GO:0010907	0.0112
GO:0036297	0.01238
GO:0009636	0.01245
GO:0006413	0.01335
GO:0032101	0.01371
GO:0032881	0.01484
GO:0009607	0.01542
GO:0072144	0.01626
GO:0016203	0.01632
GO:0051236	0.01646
GO:0003018	0.01676
GO:0072143	0.01778
GO:0051276	0.01789
GO:0060361	0.01834
GO:0090131	0.01843
GO:0002168	0.01845
GO:0016925	0.01895
GO:1904238	0.01939
GO:0061440	0.02011
GO:1901700	0.02237
GO:0140694	0.02267
GO:0002682	0.02561
GO:0033119	0.02606
GO:0045913	0.02753
GO:0010976	0.02833
GO:0006526	0.0288
GO:1904872	0.03087
GO:0097237	0.03217
GO:0019627	0.0323
GO:0000723	0.03244
GO:0006534	0.03318
GO:0006108	0.03336
GO:0006260	0.03359
GO:0043484	0.03395
GO:0006163	0.03411
GO:0032071	0.03413
GO:0043207	0.03449
GO:0006091	0.03487
GO:0006261	0.03523
GO:0006099	0.0353
GO:2001244	0.03618
GO:0018208	0.03631
GO:0072109	0.03635
GO:0002832	0.0375
GO:0006891	0.03754
GO:0006429	0.03896
GO:0007498	0.03901
GO:0050776	0.03922
GO:0008053	0.04
GO:0042551	0.0403
GO:0061437	0.04158
GO:0048678	0.04336
GO:0009141	0.0437
GO:0040014	0.04383
GO:0009145	0.04444
GO:0006206	0.04574
GO:1904816	0.04673
GO:0001944	0.04712
GO:0030866	0.04757
GO:0002262	0.04787
GO:0006754	0.04917
GO:1901293	0.04944
GO:1901607	0.04967
GO:0009142	0.04986
